"Time_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
         83,        0.06973909,      -6.654473852,      -3.520058582,      -3.857926886,      -1.232558954,          6383.475,    0.007141424524,       1.063442877,                 0,                 0,                 0,     0.02121857253,     -0.1776319875,       1.048526886,                 0,       148.9118696
         84,        0.07057932,      -6.684739795,       -3.54132236,      -3.878185765,      -1.254657178,          6383.475,    0.007076723325,        1.06147295,                 0,                 0,                 0,     0.02176246062,     -0.1773536314,       1.046575651,                 0,       149.9949767
         85,        0.07141955,      -6.717931506,      -3.565306636,      -3.901208359,      -1.279413867,          6383.475,    0.007057762325,       1.059785589,                 0,                 0,                 0,     0.02231539632,     -0.1770792972,       1.044910632,                 0,       150.1588663
         86,        0.07225978,      -6.754360228,      -3.592311898,      -3.927291386,      -1.307114505,          6383.475,    0.007083478909,        1.05838519,                 0,                 0,                 0,     0.02287423217,     -0.1768107945,       1.043535974,                 0,       149.4160148
         87,        0.07310001,      -6.794368444,      -3.622677087,      -3.956757961,       -1.33807736,          6383.475,    0.007152723541,       1.057273842,                 0,                 0,                 0,     0.02343601419,     -0.1765496183,       1.042453534,                 0,       147.8141628
         88,        0.07394024,       -6.83829286,      -3.656790411,      -3.989954497,      -1.372649468,          6383.475,    0.007264326574,       1.056453119,                 0,                 0,                 0,     0.02399836488,     -0.1762971938,       1.041664659,                 0,       145.4302898
         89,        0.07478047,      -6.886356267,      -3.695120057,      -4.027264055,       -1.41120462,          6383.475,    0.007417149588,       1.055925563,                 0,                 0,                 0,     0.02455966128,     -0.1760550834,       1.041171656,                 0,       142.3627164
         90,         0.0756207,      -6.946356272,      -3.750128866,      -4.086258345,      -1.468023478,          6383.475,    0.007610427882,        1.05569462,                 0,                 0,                 0,     0.02511862689,     -0.1758246386,       1.040977784,                 0,       138.7168549
         91,        0.07646093,      -7.007983993,       -3.81233144,      -4.151008899,      -1.529434711,          6383.475,    0.007842828065,       1.055766228,                 0,                 0,                 0,     0.02567475385,     -0.1756082037,        1.04108866,                 0,       134.6155009
         92,        0.07730116,      -7.002181601,      -3.804777647,      -4.115390484,      -1.516993692,          6383.475,    0.008111945645,       1.056153623,                 0,                 0,                 0,     0.02623025463,      -0.175410445,       1.041516901,                 0,       130.1973249
         93,        0.07814139,      -7.004926363,      -3.820057049,      -4.109100759,      -1.525778999,          6383.475,     0.00841872893,       1.056866334,                 0,                 0,                 0,     0.02678543913,     -0.1752320834,       1.042272057,                 0,       125.5375179
         94,        0.07898162,      -7.000016783,      -3.854060972,      -4.134536549,      -1.538341267,          6383.475,    0.008763528141,       1.057912883,                 0,                 0,                 0,     0.02734033082,     -0.1750742538,        1.04336258,                 0,       120.7176911
         95,        0.07982185,      -7.004895714,      -3.923236656,      -4.209273191,      -1.587403851,          6383.475,    0.009146001229,       1.059298496,                 0,                 0,                 0,      0.0278936334,     -0.1749382006,       1.044793558,                 0,        115.820944
         96,        0.08066208,       -7.00667738,      -4.013370783,      -4.310633386,      -1.660861425,          6383.475,    0.009564806483,       1.061025061,                 0,                 0,                 0,     0.02844323276,     -0.1748255727,       1.046566618,                 0,       110.9301127
         97,        0.08150231,      -7.007047482,      -4.110164226,      -4.415275141,      -1.739588721,          6383.475,     0.01001821702,       1.063091418,                 0,                 0,                 0,     0.02898641575,     -0.1747378696,       1.048680315,                 0,       106.1158303
         98,        0.08234254,      -7.005325333,      -4.172670896,      -4.478871521,       -1.82199535,          6383.475,     0.01050413679,       1.065491927,                 0,                 0,                 0,     0.02951898978,     -0.1746761761,       1.051128735,                 0,       101.4354581
         99,        0.08318277,       -7.00151602,      -4.210437833,      -4.498810414,      -1.833710136,          6383.475,     0.01102143444,       1.068225471,                 0,                 0,                 0,     0.03004086098,     -0.1746414123,       1.053910578,                 0,       96.92254465
        100,          0.084023,      -6.958070973,      -4.136103256,      -4.444031492,      -1.770112331,          6383.475,     0.01156971098,        1.07129006,                 0,                 0,                 0,     0.03055240812,     -0.1746336256,       1.057023816,                 0,       92.59436664
        101,        0.08486323,      -6.903996425,       -4.04197096,      -4.366374356,       -1.69453385,          6383.475,     0.01214868453,       1.074682451,                 0,                 0,                 0,     0.03105365888,     -0.1746525306,       1.060465207,                 0,       88.46080812
        102,        0.08570346,      -6.852077189,      -3.952090549,      -4.285950605,      -1.622037968,          6383.475,     0.01275786038,       1.078398545,                 0,                 0,                 0,     0.03154413081,     -0.1746979024,       1.064230627,                 0,       84.52816639
        103,        0.08654369,      -6.809926281,      -3.876952731,      -4.217321257,      -1.558178439,          6383.475,     0.01339641813,       1.082433543,                 0,                 0,                 0,     0.03202281625,     -0.1747697157,       1.068315208,                 0,       80.80022079
        104,        0.08738392,      -6.767472648,      -3.805554554,      -4.148711043,      -1.493728667,          6383.475,      0.0140637294,       1.086783008,                 0,                 0,                 0,     0.03248912147,     -0.1748678191,       1.072714473,                 0,       77.27559149
        105,        0.08822415,      -6.728647632,      -3.742489538,      -4.087030487,      -1.433308944,          6383.475,     0.01475870667,       1.091441065,                 0,                 0,                 0,     0.03294173557,     -0.1749922632,       1.077422445,                 0,       73.95235161
        106,        0.08906438,      -6.694546818,      -3.689960363,      -4.035405237,      -1.384149785,          6383.475,      0.0154797613,        1.09640004,                 0,                 0,                 0,     0.03337868152,     -0.1751432801,       1.082431292,                 0,       70.82796817
