"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
177, 3.227798458506631e-02, 4.891737769337289e-02, 1.178577161190059e+00, 1.352420794910665e+02, 9.175450640004198e+01, 2.513425789315739e+05
178, 2.955961552288727e-02, 4.702128437765885e-02, 1.180070784894358e+00, 1.314916662117452e+02, 9.432898342871839e+01, 2.515898008084289e+05
179, 2.695732058622735e-02, 4.510046031270730e-02, 1.182939954464829e+00, 1.278332464162606e+02, 9.712761916897688e+01, 2.521362434235282e+05
180, 2.447174185242323e-02, 4.315552120494270e-02, 1.185876539542554e+00, 1.233548127057754e+02, 9.945455750609024e+01, 2.526663131875462e+05
181, 2.210349260083494e-02, 4.118707173945937e-02, 1.188863245832033e+00, 1.187499671079535e+02, 1.018121732756446e+02, 2.532105077360343e+05
182, 1.985315716152847e-02, 3.919570415160254e-02, 1.191568503554519e+00, 1.135033359692882e+02, 1.037353777461895e+02, 2.536746253276340e+05
183, 1.772129077110096e-02, 3.718199683760338e-02, 1.195188878414897e+00, 1.082054530785133e+02, 1.057110464475689e+02, 2.543372378226673e+05
184, 1.570841943568446e-02, 3.514651300841828e-02, 1.199493241456960e+00, 1.025267379467307e+02, 1.074072450754371e+02, 2.551340744669580e+05
185, 1.381503980116172e-02, 3.308979939080200e-02, 1.203369342923501e+00, 9.635871776334540e+01, 1.086394763634487e+02, 2.558275576727274e+05
186, 1.204161903062628e-02, 3.101238497951305e-02, 1.207935267826421e+00, 8.983920724519611e+01, 1.094663518651158e+02, 2.566570429315522e+05
187, 1.038859468911713e-02, 2.891477984440391e-02, 1.212553584243745e+00, 8.268699694642497e+01, 1.094165120184757e+02, 2.574735603384223e+05
188, 8.856374635655639e-03, 2.679747399598897e-02, 1.218054309555799e+00, 7.543232847782048e+01, 1.090211418830643e+02, 2.584768592033538e+05
189, 7.445336922613066e-03, 2.466093631291550e-02, 1.222682303412317e+00, 6.824184420843635e+01, 1.084538418038367e+02, 2.593081872096401e+05
190, 6.155829702431115e-03, 2.250561353457577e-02, 1.228621037639428e+00, 6.040554976700593e+01, 1.064218170667580e+02, 2.603811041551009e+05
191, 4.988171141721232e-03, 2.033192932191168e-02, 1.233584843073996e+00, 5.290705505599964e+01, 1.043551472554491e+02, 2.612701969782075e+05
192, 3.942649342761062e-03, 1.814028338925154e-02, 1.238903457703374e+00, 4.489655363350791e+01, 1.003654261166922e+02, 2.621985039148239e+05
193, 3.019522272410147e-03, 1.593105070981411e-02, 1.244595162679839e+00, 3.724164201953375e+01, 9.583999492081134e+01, 2.632162168428922e+05
194, 2.219017698460002e-03, 1.370458079728340e-02, 1.250791912142933e+00, 3.001608528419168e+01, 9.076477742531659e+01, 2.643510259545135e+05
195, 1.541333133436018e-03, 1.146119706563500e-02, 1.255412292991698e+00, 2.308895220916045e+01, 8.437192163139660e+01, 2.651505660472179e+05
196, 9.866357858642205e-04, 9.201196269151387e-03, 1.259545394640067e+00, 1.673422672975519e+01, 7.696903088529885e+01, 2.658536084908309e+05
197, 5.550625190149927e-04, 6.924848024320567e-03, 1.264761635361810e+00, 1.115287802899900e+01, 6.886631992110189e+01, 2.667977383862936e+05
198, 2.467198171342000e-04, 4.632394415062752e-03, 1.270126316232262e+00, 6.432075862003185e+00, 5.997964721830996e+01, 2.677866264858113e+05
